createdon,OrderAmount
12-7-20 13:29,281
12-7-20 15:28,304
12-7-20 19:18,741
12-7-20 22:07,156
12-8-20 0:15,845
12-8-20 16:23,1151
12-9-20 20:33,562
12-9-20 21:16,266
12-10-20 11:31,1670
12-11-20 12:05,352
12-11-20 18:10,638
12-11-20 20:57,257
12-12-20 7:54,242
12-12-20 10:09,271
12-12-20 14:04,518
12-12-20 19:33,632
12-12-20 20:47,559
12-12-20 22:57,477
12-13-20 10:42,321
12-13-20 12:59,236
12-13-20 21:33,321
12-13-20 21:38,294
12-14-20 13:40,277
12-14-20 16:02,1541
12-14-20 20:03,165
12-14-20 22:54,262
12-15-20 14:23,739
12-16-20 10:44,386
12-16-20 11:08,442
12-16-20 14:12,201
12-16-20 22:27,854
12-17-20 12:32,328
12-17-20 16:46,589
12-18-20 13:07,1698
12-18-20 17:14,409
12-18-20 18:36,719
12-19-20 10:54,141
12-19-20 16:08,722
12-19-20 16:09,306
12-20-20 18:08,430
12-20-20 19:25,921
12-20-20 20:26,790
12-21-20 9:50,265
12-21-20 19:48,270
12-21-20 22:13,764
12-22-20 20:40,207
12-23-20 15:20,741
12-23-20 15:40,834
12-23-20 23:24,1711
12-24-20 16:16,704
12-24-20 17:39,799
12-25-20 22:57,504
12-26-20 13:46,235
12-26-20 16:49,639
12-26-20 17:03,668
12-26-20 19:02,198
12-26-20 23:16,448
12-27-20 10:30,252
12-27-20 11:24,422
12-27-20 12:13,638
12-27-20 12:39,257
12-27-20 18:23,1160
12-27-20 20:10,1039
12-27-20 20:39,201
12-27-20 21:45,286
12-28-20 12:20,262
12-28-20 15:07,202
12-28-20 15:49,305
12-28-20 17:49,635
12-28-20 17:58,839
12-29-20 13:04,235
12-29-20 16:27,201
12-29-20 21:23,684
12-30-20 17:16,200
12-30-20 21:50,201
12-31-20 10:04,573
12-31-20 12:29,392
12-31-20 16:24,788
12-31-20 17:30,1054
1-1-21 17:09,398
1-2-21 11:56,630
1-2-21 16:51,1759
1-2-21 21:05,297
1-3-21 13:06,140
1-4-21 15:50,1689
1-5-21 14:31,253
1-5-21 17:28,264
1-5-21 17:47,979
1-6-21 12:30,208
1-6-21 13:32,219
1-6-21 17:53,228
1-7-21 11:35,659
1-7-21 18:04,209
1-7-21 20:45,1320
1-7-21 22:58,262
1-8-21 3:03,522
1-8-21 15:29,771
1-9-21 7:17,400
1-9-21 19:09,390
1-9-21 19:27,723
1-9-21 20:01,1271
1-9-21 21:04,1603
1-9-21 22:13,561
1-10-21 10:14,870
1-10-21 19:22,794
1-11-21 10:44,713
1-12-21 10:48,250
1-12-21 18:28,918
1-13-21 10:38,202
1-13-21 14:21,252
1-14-21 13:01,651
1-14-21 15:21,1594
1-15-21 17:23,677
1-16-21 9:43,215
1-16-21 17:00,243
1-16-21 18:20,478
1-16-21 21:05,869
1-18-21 9:50,120
1-18-21 9:53,454
1-18-21 13:03,385
1-19-21 10:21,70
1-19-21 18:23,1732
1-20-21 9:12,332
1-20-21 13:39,352
1-20-21 18:14,2281
1-21-21 14:33,322
1-22-21 22:30,837
1-23-21 13:32,261
1-23-21 18:39,718
1-23-21 20:02,380
1-23-21 21:24,1434
1-23-21 23:26,599
1-24-21 9:55,257
1-24-21 10:20,424
1-24-21 15:02,1497
1-26-21 13:18,2241
1-26-21 14:41,404
1-26-21 18:48,304
1-26-21 19:41,298
1-27-21 14:37,675
1-27-21 14:56,446
1-27-21 20:12,406
1-27-21 22:28,187
1-28-21 10:22,527
1-29-21 10:34,230
1-29-21 18:35,405
1-29-21 20:02,223
1-30-21 18:28,470
1-30-21 19:01,526
1-30-21 20:47,233
1-30-21 22:40,549
1-31-21 21:20,956
1-31-21 21:43,1419
2-2-21 10:37,421
2-2-21 16:14,425
2-2-21 18:07,523
2-2-21 21:24,499
2-3-21 15:46,793
2-3-21 20:19,410
2-4-21 12:37,402
2-4-21 12:41,449
2-4-21 15:44,410
2-4-21 21:26,562
2-6-21 12:59,454
2-6-21 16:37,557
2-6-21 22:35,415
2-7-21 13:58,1432
2-7-21 15:04,449
2-7-21 19:19,618
2-7-21 21:59,656
2-8-21 14:20,646
2-9-21 13:14,2175
2-9-21 23:20,853
2-10-21 0:56,454
2-10-21 15:09,195
2-10-21 22:36,476
2-10-21 23:04,406
2-11-21 13:47,393
2-12-21 1:47,405
2-12-21 9:15,225
2-13-21 16:09,525
2-13-21 19:14,808
2-13-21 19:16,294
2-13-21 19:58,664
2-13-21 20:48,444
2-13-21 22:40,1056
2-14-21 10:22,769
2-14-21 17:51,1413
2-14-21 17:57,293
2-14-21 23:20,413
2-15-21 15:56,536
2-16-21 8:31,440
2-16-21 19:03,633
2-17-21 11:59,194
2-17-21 16:05,322
2-17-21 20:56,697
2-18-21 14:01,263
2-19-21 17:13,1034
2-19-21 21:15,597
2-20-21 1:58,403
2-20-21 7:22,693
2-20-21 11:36,534
2-21-21 12:24,2082
2-21-21 14:50,761
2-21-21 19:19,560
2-21-21 20:06,413
2-21-21 23:28,455
2-22-21 12:45,472
2-22-21 15:44,1266
2-22-21 16:43,1060
2-23-21 9:03,212
2-23-21 18:05,96
2-24-21 21:53,863
2-25-21 1:27,606
2-25-21 5:54,2239
2-25-21 6:11,948
2-25-21 10:01,737
2-25-21 11:50,404
2-25-21 19:33,200
2-26-21 14:14,989
2-26-21 18:49,406
2-26-21 22:09,408
2-27-21 17:45,665
2-28-21 18:23,1408
3-1-21 14:55,516
3-1-21 16:05,499
3-1-21 21:44,306
3-1-21 22:32,1626
3-2-21 0:25,410
3-2-21 15:03,699
3-2-21 19:20,751
3-2-21 19:25,228
3-3-21 16:13,247
3-3-21 18:53,544
3-3-21 19:09,127
3-4-21 13:35,416
3-4-21 17:20,276
3-5-21 20:08,209
3-5-21 20:08,151
3-5-21 22:25,679
3-6-21 16:25,457
3-6-21 20:30,104
3-6-21 21:04,218
3-7-21 10:41,410
3-7-21 12:25,1310
3-8-21 8:41,170
3-8-21 20:03,469
3-8-21 22:32,1316
3-9-21 18:59,652
3-10-21 16:15,3108
3-10-21 16:30,428
3-10-21 17:08,405
3-11-21 3:03,1021
3-11-21 19:03,528
3-12-21 14:24,414
3-12-21 14:31,120
3-12-21 14:38,36
3-12-21 16:40,684
3-12-21 17:00,773
3-12-21 21:52,2527
3-12-21 21:55,117
3-12-21 22:42,909
3-13-21 0:08,672
3-13-21 0:47,350
3-13-21 18:30,504
3-13-21 20:41,413
3-14-21 11:16,423
3-14-21 12:03,60
3-14-21 15:08,600
3-15-21 22:48,404
3-16-21 0:07,406
3-16-21 12:24,520
3-16-21 13:33,405
3-16-21 14:33,281
3-16-21 14:37,504
3-16-21 19:28,50
3-16-21 23:49,702
3-17-21 13:55,233
3-18-21 9:34,422
3-18-21 10:10,1302
3-18-21 19:05,752
3-18-21 19:43,585
